,Id,Alley,Fence,SalePrice,LotArea,OverallQual,YearRemodAdd,YearBuilt,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,GarageCars,Fireplaces,WoodDeckSF,OpenPorchSF,SaleCondition,KitchenQual,Heating,GarageType
21,22,Grvl,GdPrv,139400,7449,7,1950,1930,0.0,637,1108,1,1,1,0,0,Normal,Gd,GasA,Attchd
22,23,,,230000,9742,8,2002,2002,281.0,1777,1795,2,2,1,171,159,Normal,Gd,GasA,Attchd
23,24,,,129900,4224,5,1976,1976,0.0,1040,1060,1,2,1,100,110,Normal,TA,GasA,Attchd
24,25,,MnPrv,154000,8246,5,2001,1968,0.0,1060,1060,1,1,1,406,90,Normal,Gd,GasA,Attchd
25,26,,,256300,14230,8,2007,2007,640.0,1566,1600,2,3,1,0,56,Normal,Gd,GasA,Attchd
26,27,,,134800,7200,5,2000,1951,0.0,900,900,1,2,0,222,32,Normal,Gd,GasA,Detchd
27,28,,,306000,11478,8,2008,2007,200.0,1704,1704,2,3,1,0,50,Normal,Gd,GasA,Attchd
28,29,,,207500,16321,5,1997,1957,0.0,1484,1600,1,1,2,288,258,Normal,TA,GasA,Attchd
29,30,,,68500,6324,4,1950,1927,0.0,520,520,1,1,0,49,0,Normal,Fa,GasA,Detchd
30,31,Pave,MnPrv,40000,8500,4,1950,1920,0.0,649,1317,1,1,0,0,54,Normal,TA,GasA,Detchd
31,32,,MnPrv,149350,8544,5,2006,1966,0.0,1228,1228,1,1,0,0,65,Normal,Gd,GasA,Attchd
32,33,,,179900,11049,8,2007,2007,0.0,1234,1234,2,2,0,0,30,Normal,Gd,GasA,Attchd
33,34,,,165500,10552,5,1959,1959,0.0,1398,1700,1,2,1,0,38,Normal,Gd,GasA,Attchd
34,35,,,277500,7313,9,2005,2005,246.0,1561,1561,2,2,1,203,47,Normal,Ex,GasA,Attchd
35,36,,,309000,13418,8,2005,2004,132.0,1117,2452,3,3,1,113,32,Normal,Gd,GasA,BuiltIn
36,37,,,145000,10859,5,1995,1994,0.0,1097,1097,1,2,0,392,64,Normal,TA,GasA,Attchd
37,38,,,153000,8532,5,1990,1954,650.0,1297,1297,1,2,1,0,0,Normal,TA,GasA,Attchd
38,39,,,109000,7922,5,2007,1953,0.0,1057,1057,1,1,0,0,52,Abnorml,Gd,GasA,Detchd
39,40,,,82000,6040,4,1955,1955,0.0,0,1152,2,0,0,0,0,AdjLand,Fa,GasA,
40,41,,GdWo,160000,8658,6,1965,1965,101.0,1088,1324,2,2,1,0,138,Abnorml,TA,GasA,Attchd
41,42,,,170000,16905,5,1959,1959,0.0,1350,1328,1,1,2,0,104,Normal,TA,GasA,Attchd
42,43,,MnPrv,144000,9180,5,1983,1983,0.0,840,884,1,2,0,240,0,Normal,Gd,GasA,Attchd
43,44,,MnPrv,130250,9200,5,1980,1975,0.0,938,938,1,1,0,145,0,Normal,TA,GasA,Detchd
44,45,,,141000,7945,5,1959,1959,0.0,1150,1150,1,1,0,0,0,Normal,TA,GasA,Attchd
45,46,,,319900,7658,9,2005,2005,412.0,1752,1752,2,2,1,196,82,Normal,Ex,GasA,Attchd
46,47,,,239686,12822,7,2003,2003,0.0,1434,2149,1,2,1,168,43,Abnorml,Gd,GasA,Attchd
47,48,,,249700,11096,8,2006,2006,0.0,1656,1656,2,3,0,0,146,Normal,Gd,GasA,Attchd
48,49,,,113000,4456,4,2008,1920,0.0,736,1452,2,0,0,0,0,Partial,TA,GasA,
49,50,,MnPrv,127000,7742,5,1966,1966,0.0,955,955,1,1,0,0,0,Normal,TA,GasA,Attchd
50,51,,,177000,13869,6,1997,1997,0.0,794,1470,2,2,0,0,75,Normal,TA,GasA,Attchd
51,52,,MnPrv,114500,6240,6,1950,1934,0.0,816,1176,1,2,1,112,0,Normal,TA,GasA,Detchd
52,53,,,110000,8472,5,1963,1963,0.0,816,816,1,2,0,106,0,Normal,TA,GasA,CarPort
53,54,,,385000,50271,9,1987,1981,0.0,1842,1842,0,3,1,857,72,Normal,Gd,GasA,Attchd
54,55,,MnPrv,130000,7134,5,1955,1955,0.0,384,1360,1,2,1,0,50,Normal,TA,GasA,Detchd
55,56,,,180500,10175,6,1964,1964,272.0,1425,1425,2,2,1,0,0,Normal,TA,GasA,Attchd
56,57,Pave,,172500,2645,8,2000,1999,456.0,970,1739,2,2,0,115,0,Abnorml,Gd,GasA,Attchd
57,58,,,196500,11645,7,2004,2004,0.0,860,1720,2,2,0,0,70,Normal,Gd,GasA,Attchd
58,59,,,438780,13682,10,2006,2006,1031.0,1410,2945,3,3,1,192,0,Partial,Gd,GasA,BuiltIn
59,60,,MnPrv,124900,7200,5,1972,1972,0.0,780,780,1,1,0,196,0,Normal,TA,GasA,Detchd
60,61,,,158000,13072,6,2004,2004,0.0,1158,1158,1,2,0,0,50,Partial,Gd,GasA,Detchd
61,62,,,101000,7200,5,1996,1920,0.0,530,1111,1,1,0,0,0,Normal,Fa,GasA,Detchd
62,63,,,202500,6442,8,2006,2006,178.0,1370,1370,2,2,1,120,49,Normal,Gd,GasA,Attchd
63,64,,GdPrv,140000,10300,7,1950,1921,0.0,576,1710,2,2,0,12,11,Normal,TA,GasA,Detchd
64,65,,GdPrv,219500,9375,7,1998,1997,573.0,1057,2034,2,2,0,576,36,Normal,Gd,GasA,Attchd
65,66,,,317000,9591,8,2005,2004,344.0,1143,2473,2,3,1,192,151,Normal,Gd,GasA,BuiltIn
66,67,,,180000,19900,7,1989,1970,287.0,1947,2207,2,2,1,301,0,Normal,TA,GasA,Attchd
67,68,,,226000,10665,7,2003,2003,167.0,1453,1479,2,2,0,144,29,Normal,Gd,GasA,Attchd
68,69,,,80000,4608,4,1950,1945,0.0,747,747,1,1,0,0,0,Normal,TA,GasA,Attchd
69,70,,,225000,15593,7,1953,1953,0.0,1304,2287,2,2,1,0,21,Normal,TA,GasW,Attchd
70,71,,,244000,13651,7,1973,1973,1115.0,2223,2223,2,2,2,300,0,Normal,TA,GasA,Attchd
71,72,,,129500,7599,4,2006,1982,0.0,845,845,1,2,0,0,0,Normal,TA,GasA,Detchd
72,73,,,185000,10141,7,1998,1998,40.0,832,1718,2,2,1,0,94,Normal,TA,GasA,Attchd
73,74,,GdWo,144900,10200,5,2003,1954,104.0,1086,1086,1,2,0,0,0,Normal,TA,GasA,Attchd
74,75,,,107400,5790,3,1950,1915,0.0,840,1605,2,1,0,0,0,Normal,TA,GasA,Detchd
75,76,,GdWo,91000,1596,4,1973,1973,0.0,462,988,1,1,0,120,101,Normal,TA,GasA,BuiltIn
76,77,,,135750,8475,4,1956,1956,0.0,952,952,1,1,0,0,0,Normal,TA,GasA,Detchd
77,78,,MnPrv,127000,8635,5,2001,1948,0.0,672,1285,1,1,0,0,0,Normal,TA,GasA,Detchd
78,79,,,136500,10778,4,1968,1968,0.0,1768,1768,2,0,0,0,0,Normal,TA,GasA,
79,80,Grvl,MnPrv,110000,10440,5,1981,1910,0.0,440,1230,1,2,0,74,0,Normal,TA,GasA,Detchd
80,81,,,193500,13000,6,1968,1968,576.0,896,2142,2,1,1,0,72,Normal,Gd,GasA,Attchd
81,82,,,153500,4500,6,1998,1998,443.0,1237,1337,2,2,0,0,199,Normal,TA,GasA,Attchd
82,83,,,245000,10206,8,2007,2007,468.0,1563,1563,2,3,1,144,99,Normal,Gd,GasA,Attchd
83,84,,,126500,8892,5,1960,1960,66.0,1065,1065,1,2,0,74,0,Normal,TA,GasA,Detchd
84,85,,,168500,8530,7,1996,1995,22.0,384,1474,2,2,1,120,72,Normal,TA,GasA,BuiltIn
85,86,,,260000,16059,8,1992,1991,284.0,1288,2417,2,2,1,127,82,Normal,Gd,GasA,Attchd
86,87,,,174000,11911,6,2005,2005,0.0,684,1560,2,2,1,100,38,Normal,Gd,GasA,BuiltIn
87,88,Pave,,164500,3951,6,2009,2009,76.0,612,1224,2,2,0,0,234,Partial,Gd,GasA,Detchd
88,89,,MnPrv,85000,8470,3,1982,1915,0.0,1013,1526,1,0,0,0,0,Abnorml,Fa,GasA,
89,90,,,123600,8070,4,1995,1994,0.0,990,990,1,0,0,0,0,Normal,TA,GasA,
90,91,,,109900,7200,4,1950,1950,0.0,0,1040,1,2,0,0,29,Normal,TA,GasA,Detchd
91,92,,GdWo,98600,8500,5,1961,1961,203.0,1235,1235,1,2,0,0,0,Abnorml,TA,GasA,Attchd
92,93,Grvl,,163500,13360,5,2006,1921,0.0,876,964,1,2,0,0,0,Normal,TA,GasA,Detchd
93,94,,,133900,7200,6,1998,1910,0.0,1214,2291,2,2,1,0,0,Normal,TA,GasW,Detchd
94,95,,,204750,9337,6,1997,1997,0.0,824,1786,2,2,0,0,162,Normal,Gd,GasA,Attchd
95,96,,,185000,9765,6,1993,1993,68.0,680,1470,2,2,1,232,63,Normal,TA,GasA,BuiltIn
96,97,,,214000,10264,7,1999,1999,183.0,1588,1588,2,2,0,158,29,Normal,Gd,GasA,Attchd
97,98,,,94750,10921,4,1965,1965,48.0,960,960,1,1,0,120,0,Normal,TA,GasA,Attchd
98,99,,,83000,10625,5,1950,1920,0.0,458,835,1,1,0,0,0,Abnorml,TA,GasA,Basment
99,100,,,128950,9320,4,1959,1959,0.0,950,1225,1,0,0,352,0,Normal,TA,GasA,
100,101,,,205000,10603,6,2001,1977,28.0,1610,1610,2,2,2,168,68,Normal,Gd,GasA,Attchd
101,102,,,178000,9206,6,1985,1985,336.0,741,1732,2,2,1,192,46,Normal,Gd,GasA,Attchd
102,103,,,118964,7018,5,1979,1979,0.0,0,1535,2,2,0,0,0,Alloca,TA,GasA,Attchd
103,104,,,198900,10402,7,2009,2009,0.0,1226,1226,2,3,0,0,36,Normal,Gd,GasA,Attchd
104,105,,,169500,7758,7,1950,1931,600.0,1040,1818,1,1,2,0,0,Normal,TA,GasA,Detchd
105,106,,,250000,9375,8,2004,2003,768.0,1053,1992,2,2,1,140,45,Normal,Gd,GasA,Attchd
106,107,Grvl,,100000,10800,4,1995,1885,0.0,641,1047,1,1,0,0,0,Normal,TA,GasA,Detchd
107,108,,,115000,6000,5,1950,1948,0.0,789,789,1,1,0,0,0,Partial,TA,GasA,Detchd
108,109,,,115000,8500,5,2005,1919,0.0,793,1517,2,0,0,0,0,Normal,Fa,GasW,
109,110,,MnPrv,190000,11751,6,1977,1977,480.0,1844,1844,2,2,1,0,122,Normal,TA,GasA,Attchd
110,111,,,136900,9525,6,1972,1954,0.0,994,1855,2,1,0,182,0,Normal,TA,GasA,Attchd
111,112,,,180000,7750,7,2000,2000,0.0,384,1430,2,2,1,180,0,Normal,TA,GasA,BuiltIn
112,113,,,383970,9965,7,2007,2007,220.0,1264,2696,2,3,1,120,184,Partial,Ex,GasA,BuiltIn
113,114,,MnPrv,217000,21000,6,1953,1953,184.0,1809,2259,2,2,2,166,120,Abnorml,Gd,GasA,Basment
114,115,,MnPrv,259500,7259,6,2002,1945,0.0,1028,2320,2,1,1,224,0,Normal,Gd,GasA,Detchd
115,116,Pave,,176000,3230,6,1999,1999,1129.0,729,1458,2,2,1,0,32,Normal,TA,GasA,Detchd
116,117,,,139000,11616,5,1962,1962,116.0,1092,1092,1,1,1,0,20,Normal,TA,GasA,Attchd
117,118,,,155000,8536,5,2007,2006,0.0,1125,1125,1,2,0,80,64,Partial,TA,GasA,Attchd
118,119,,,320000,12376,7,1990,1990,0.0,1673,3222,3,3,2,367,0,Normal,Gd,GasA,Attchd
119,120,,,163990,8461,6,2006,2005,0.0,728,1456,2,2,1,0,24,Partial,Gd,GasA,Attchd
120,121,,,180000,21453,6,1969,1969,0.0,938,988,1,2,2,0,130,Normal,TA,GasA,Attchd
121,122,,MnPrv,100000,6060,4,1950,1939,0.0,732,1123,1,1,0,0,0,Normal,TA,GasA,Detchd
122,123,,,136000,9464,6,1958,1958,135.0,1080,1080,1,1,0,0,0,Normal,TA,GasA,Attchd
123,124,,,153900,7892,6,1993,1993,0.0,1199,1199,2,2,0,0,63,Normal,Gd,GasA,Attchd
124,125,,,181000,17043,6,1998,1979,0.0,1362,1586,2,2,1,192,0,Normal,TA,GasA,Attchd
125,126,,,84500,6780,6,1982,1935,0.0,520,754,1,0,0,53,0,Normal,TA,GasA,
126,127,,,128000,4928,6,1976,1976,0.0,1078,958,2,2,1,0,205,Normal,TA,GasA,Attchd
127,128,,,87000,4388,5,1950,1930,0.0,672,840,1,0,1,0,0,Normal,TA,GasA,
128,129,,,155000,7590,6,1966,1966,266.0,660,1348,1,2,1,188,108,Normal,TA,GasA,Attchd
129,130,,MnWw,150000,8973,5,1991,1958,85.0,1008,1053,1,2,0,0,80,Abnorml,Ex,GasA,2Types
130,131,,GdPrv,226000,14200,7,1966,1966,309.0,924,2157,2,2,2,105,66,Normal,Gd,GasA,Attchd
131,132,,,244000,12224,6,2000,2000,40.0,992,2054,2,2,1,24,48,Normal,Gd,GasA,BuiltIn
132,133,,,150750,7388,5,2002,1959,0.0,1063,1327,1,2,0,0,0,Normal,Gd,GasA,Detchd
133,134,,,220000,6853,8,2002,2001,136.0,1267,1296,2,2,0,192,25,Normal,Gd,GasA,Attchd
134,135,,MnPrv,180000,10335,5,1993,1968,0.0,1461,1721,2,2,1,0,96,Normal,TA,GasA,Attchd
135,136,,MnPrv,174000,10400,7,1970,1970,288.0,1304,1682,2,2,1,98,0,Normal,TA,GasA,Attchd
136,137,,,143000,10355,5,1967,1967,196.0,1214,1214,2,1,1,0,111,Normal,TA,GasA,Attchd
137,138,,,171000,11070,7,1989,1988,70.0,1907,1959,3,3,0,0,0,Family,TA,GasA,2Types
138,139,,GdPrv,230000,9066,8,2000,1999,320.0,1004,1852,2,3,2,224,106,Normal,Gd,GasA,Attchd
139,140,,MnPrv,231500,15426,6,1997,1997,0.0,928,1764,2,2,0,276,99,Normal,Gd,GasA,Attchd
140,141,,,115000,10500,4,1971,1971,0.0,864,864,1,0,1,0,0,Normal,TA,GasA,
141,142,,,260000,11645,7,2005,2005,0.0,1734,1734,2,2,0,160,24,Normal,Gd,GasA,Attchd
142,143,,MnPrv,166000,8520,5,1952,1952,0.0,910,1385,2,2,0,0,0,Normal,TA,GasA,Detchd
143,144,,,204000,10335,7,1999,1999,183.0,1490,1501,2,2,0,144,29,Normal,Gd,GasA,Attchd
144,145,,,125000,9100,5,1963,1963,336.0,1728,1728,2,2,0,0,0,Abnorml,TA,GasA,Detchd
145,146,,,130000,2522,6,2006,2004,50.0,970,1709,2,2,0,0,40,Normal,Gd,GasA,Detchd
146,147,,,105000,6120,5,1993,1931,0.0,715,875,1,1,0,48,0,Normal,TA,GasA,Detchd
147,148,,,222500,9505,7,2001,2001,180.0,884,2035,2,2,1,144,48,Normal,Gd,GasA,BuiltIn
148,149,,,141000,7500,7,2005,2004,120.0,1080,1080,1,0,0,0,0,Normal,Gd,GasA,
149,150,,,115000,6240,5,1950,1936,0.0,896,1344,1,1,0,200,114,Normal,TA,GasA,Detchd
150,151,,MnPrv,122000,10356,5,1975,1975,0.0,969,969,1,2,0,0,0,Normal,TA,GasA,Attchd
151,152,,,372402,13891,8,2008,2007,436.0,1710,1710,2,3,1,0,102,Partial,Gd,GasA,Attchd
152,153,,GdWo,190000,14803,6,1971,1971,252.0,825,1993,2,2,1,0,66,Normal,TA,GasA,Attchd
153,154,,,235000,13500,6,1975,1960,0.0,1602,1252,1,2,1,409,0,Normal,TA,GasA,Attchd
154,155,,,125000,11340,6,1950,1923,0.0,1200,1200,1,1,0,0,0,Family,TA,GasA,Detchd
155,156,,,79000,9600,6,1950,1924,0.0,572,1096,1,0,0,0,8,Normal,TA,Grav,
156,157,,,109500,7200,5,1950,1950,0.0,0,1040,1,2,0,0,0,Normal,TA,GasA,Detchd
157,158,,,269500,12003,8,2010,2009,84.0,774,1968,2,3,1,0,75,Partial,Ex,GasA,BuiltIn
158,159,,GdWo,254900,12552,7,2005,2004,0.0,991,1947,2,2,1,0,136,Normal,Gd,GasA,Attchd
159,160,,,320000,19378,7,2006,2005,456.0,1392,2462,2,2,1,239,132,Partial,Gd,GasA,Attchd
160,161,,,162500,11120,6,1984,1984,0.0,1232,1232,2,2,0,0,0,Normal,TA,GasA,Attchd
161,162,,,412500,13688,9,2004,2003,664.0,1572,2668,2,3,2,400,0,Normal,Ex,GasA,BuiltIn
162,163,,,220000,12182,7,2005,2005,226.0,1541,1541,2,2,1,0,70,Partial,Gd,GasA,Attchd
163,164,,MnPrv,103200,5500,4,1956,1956,0.0,882,882,1,0,0,0,0,Normal,TA,GasA,
164,165,Pave,,152000,5400,6,2004,1926,0.0,1149,1616,2,1,0,0,0,Normal,Gd,GasA,Detchd
165,166,,,127500,10106,5,1999,1940,0.0,644,1355,2,0,0,140,0,Normal,TA,GasA,
166,167,,GdWo,190000,10708,5,1993,1955,0.0,1617,1867,1,1,3,476,0,Normal,TA,GasA,Attchd
167,168,,,325624,10562,8,2007,2007,300.0,1582,2161,1,3,1,178,120,Partial,Ex,GasA,Attchd
168,169,,,183500,8244,7,2004,2004,0.0,840,1720,2,2,1,100,48,Normal,Gd,GasA,Attchd
169,170,,,228000,16669,8,1981,1981,653.0,1686,1707,2,2,1,574,64,Normal,TA,GasA,Attchd
170,171,,,128500,12358,5,1950,1941,0.0,720,1382,1,2,0,237,0,Normal,TA,GasA,Detchd
171,172,,,215000,31770,6,1960,1960,112.0,1080,1656,1,2,2,210,62,Normal,TA,GasA,Attchd
172,173,,,239000,5306,7,1987,1987,0.0,1064,1767,2,2,1,441,35,Normal,Gd,GasA,Attchd
173,174,,,163000,10197,6,1961,1961,491.0,1362,1362,1,2,1,0,20,Normal,TA,GasA,Attchd
174,175,,,184000,12416,6,1986,1986,132.0,1606,1651,2,2,1,192,0,Normal,TA,GasA,Attchd
175,176,,MnPrv,243000,12615,6,2001,1950,0.0,1202,2158,2,2,1,0,29,Normal,Gd,GasA,Attchd
176,177,,,211000,10029,6,1989,1988,268.0,1151,2060,2,2,1,0,228,Normal,TA,GasA,Attchd
177,178,,,172500,13650,5,1958,1958,0.0,1052,1920,2,2,1,0,0,Normal,Gd,GasA,Attchd
178,179,,,501837,17423,9,2009,2008,748.0,2216,2234,2,3,1,0,60,Partial,Ex,GasA,Attchd
179,180,,,100000,8520,5,2006,1923,0.0,968,968,1,2,0,0,0,Normal,TA,GasA,Detchd
180,181,,,177000,2117,6,2000,2000,456.0,756,1525,2,2,1,0,0,Normal,Gd,GasA,Detchd
181,182,,,200100,7588,7,1950,1920,0.0,793,1802,1,1,1,0,0,Normal,TA,GasA,Detchd
182,183,,MnPrv,120000,9060,5,2006,1957,98.0,0,1340,1,1,1,116,0,Normal,TA,GasA,Attchd
183,184,,,200000,11426,7,2003,2003,0.0,1362,2082,2,2,0,280,238,Normal,Gd,GasA,Detchd
184,185,,MnPrv,127000,7438,5,1991,1908,0.0,504,1252,1,2,0,104,0,Normal,TA,GasA,Attchd
185,186,,GdPrv,475000,22950,10,1993,1892,0.0,1107,3608,2,3,2,0,260,Normal,Ex,GasA,Detchd
186,187,,GdPrv,173000,9947,7,1991,1990,0.0,1188,1217,2,2,0,168,27,Normal,Gd,GasA,Attchd
187,188,,MnPrv,135000,10410,5,1987,1916,0.0,660,1656,2,1,0,0,0,Normal,TA,GasA,Detchd
188,189,,,153337,7018,5,1979,1979,275.0,1086,1224,0,2,2,120,0,Alloca,TA,GasA,Detchd
189,190,,,286000,4923,8,2002,2001,0.0,1593,1593,1,2,1,0,120,Normal,Ex,GasA,Attchd
190,191,,,315000,10570,8,1994,1932,0.0,853,2727,2,2,2,0,74,Normal,Gd,GasA,Detchd
191,192,,,184000,7472,7,2004,1972,138.0,725,1479,1,2,0,0,32,Normal,Gd,GasA,Attchd
192,193,,,192000,9017,7,1999,1999,0.0,1431,1431,2,2,0,0,35,Normal,Gd,GasA,Attchd
193,194,,,130000,2522,7,2004,2004,50.0,970,1709,2,2,0,0,40,Normal,Gd,GasA,Detchd
194,195,,,127000,7180,5,1972,1972,0.0,864,864,1,1,0,0,0,Normal,TA,GasA,Detchd
195,196,,,148500,2280,6,1976,1976,0.0,855,1456,2,2,1,87,0,Normal,TA,GasA,Attchd
196,197,,,311872,9416,7,2007,2007,205.0,1726,1726,2,3,1,171,138,Partial,Ex,GasA,Attchd
197,198,,GdPrv,235000,25419,8,1990,1918,0.0,1360,3112,2,2,1,0,16,Abnorml,Gd,GasA,Detchd
198,199,,MnPrv,104000,5520,6,1950,1912,0.0,755,2229,1,0,0,0,198,Abnorml,TA,GasA,
199,200,,,274900,9591,8,2005,2004,262.0,1713,1713,2,3,1,0,26,Normal,Ex,GasA,Attchd
200,201,,,140000,8546,4,2004,2003,0.0,1121,1121,2,2,0,132,64,Normal,TA,GasA,Attchd
201,202,,MnPrv,171500,10125,6,1977,1977,0.0,1196,1279,2,2,2,238,83,Normal,TA,GasA,Detchd
202,203,,,112000,7000,6,1950,1924,0.0,617,1310,2,1,0,0,0,Normal,TA,GasA,Attchd
203,204,,,149000,4438,6,2004,2004,205.0,848,848,1,2,1,149,0,Normal,Gd,GasA,Attchd
204,205,Grvl,MnWw,110000,3500,5,1950,1947,0.0,720,1284,1,1,0,0,35,Normal,TA,GasA,Detchd
205,206,,,180500,11851,7,1990,1990,0.0,1424,1442,2,2,0,0,34,Normal,TA,GasA,Attchd
206,207,,,143900,13673,5,1962,1962,0.0,1140,1696,1,1,1,0,30,Normal,TA,GasA,Attchd
207,208,,GdWo,141000,12493,4,1960,1960,0.0,1100,1100,1,1,1,355,0,Normal,TA,GasA,Attchd
208,209,,,277000,14364,7,1989,1988,128.0,1157,2062,2,2,1,60,55,Normal,TA,GasA,Attchd
209,210,,MnPrv,145000,8250,6,1964,1964,260.0,1092,1092,1,2,0,0,0,Normal,TA,GasA,Attchd
210,211,,,98000,5604,5,1950,1925,0.0,864,864,1,0,0,0,0,Normal,TA,GasA,
211,212,,,186000,10420,6,2009,2009,0.0,1212,1212,2,2,0,100,22,Normal,Gd,GasA,Attchd
212,213,,,252678,8640,7,2009,2009,0.0,900,1852,2,2,1,168,108,Partial,Gd,GasA,Attchd
213,214,,,156000,13568,5,1995,1995,0.0,990,990,1,2,0,224,0,Normal,TA,GasA,Attchd
214,215,,MnPrv,161750,10900,6,1977,1977,153.0,689,1392,1,1,0,0,36,Normal,TA,GasA,Attchd
215,216,,MnPrv,134450,10011,5,1996,1957,64.0,1070,1236,1,1,1,0,0,Normal,Gd,GasA,Attchd
216,217,,,210000,8450,7,2004,2004,266.0,1436,1436,2,2,0,139,98,Normal,Gd,GasA,Attchd
217,218,Grvl,,107000,9906,4,1950,1925,0.0,686,1328,1,1,0,0,172,Family,TA,GasA,Detchd
218,219,,,311500,15660,7,2006,1939,312.0,798,1954,1,2,2,0,119,Normal,Gd,GasA,Attchd
219,220,,,167240,3010,7,2006,2005,16.0,1248,1248,2,2,0,108,0,Partial,Gd,GasA,Attchd
220,221,,,204900,8990,7,2006,2006,0.0,1498,1498,2,2,0,351,33,Partial,Gd,GasA,Attchd
221,222,,,200000,8068,6,2002,2002,0.0,1010,2267,2,2,1,120,46,Normal,Gd,GasA,BuiltIn
222,223,,MnPrv,179900,11475,6,1975,1975,0.0,713,1552,2,2,1,209,208,Normal,TA,GasA,Attchd
223,224,,,97000,10500,4,1971,1971,0.0,864,864,1,2,0,216,0,Abnorml,TA,GasA,Detchd
224,225,,,386250,13472,10,2003,2003,922.0,2392,2392,2,3,1,248,105,Normal,Ex,GasA,Attchd
225,226,,,112000,1680,5,1971,1971,142.0,630,1302,2,1,0,0,0,Abnorml,TA,GasA,Detchd
226,227,,,290000,9950,7,1995,1995,290.0,1203,2520,2,3,1,224,114,Abnorml,Gd,GasA,Attchd
227,228,,,106000,1869,6,1970,1970,127.0,483,987,1,1,0,0,0,Normal,TA,GasA,Detchd
228,229,,MnPrv,125000,8521,5,1967,1967,0.0,912,912,1,1,1,0,0,Normal,TA,GasA,Detchd
229,230,,,192500,3182,7,2006,2005,16.0,1373,1555,2,2,1,143,20,Normal,Gd,GasA,Attchd
230,231,,,148000,8760,6,1959,1959,220.0,1194,1194,1,1,0,0,0,Normal,TA,GasA,Attchd
231,232,,,403000,15138,8,1996,1995,506.0,1462,2794,2,3,1,0,146,Normal,Ex,GasA,Attchd
232,233,,,94500,1680,6,1972,1972,297.0,483,987,1,1,1,0,0,Normal,TA,GasA,Attchd
233,234,,MnPrv,128200,10650,5,1976,1976,0.0,894,894,1,1,0,365,0,Normal,TA,GasA,Attchd
234,235,,,216500,7851,6,2002,2002,,860,1960,2,2,2,288,48,Normal,Gd,GasA,BuiltIn
235,236,,,89500,1680,6,1971,1971,604.0,483,987,1,1,0,0,0,Normal,TA,GasA,Detchd
236,237,,,185500,8773,7,2004,2004,98.0,1414,1414,2,2,0,132,105,Normal,Gd,GasA,Attchd
237,238,,,194500,9453,7,2003,1993,0.0,996,1744,2,2,0,370,70,Normal,Gd,GasA,Attchd
238,239,,,318000,12030,8,2007,2007,254.0,1694,1694,2,3,0,168,228,Partial,Gd,GasA,Attchd
239,240,,MnPrv,113000,8741,6,1950,1945,0.0,735,1487,1,1,1,0,140,Normal,TA,GasA,Detchd
