SalePrice,LotArea,OverallQual,SaleCondition,YearBuilt
140000,11310,6,Normal,1954
180000,11317,7,Normal,2003
277000,159000,6,Normal,1958
76500,5350,3,Normal,1940
235000,4750,8,Family,2006
173000,8366,6,Normal,2004
158000,9350,6,Normal,1964
145000,8400,5,Normal,1957
230000,8738,7,Normal,1999
207500,8791,6,Normal,2003
220000,8814,7,Abnorml,2006
231500,12435,7,Normal,2001
97000,12702,5,Normal,1956
176000,19296,6,Normal,1962
276000,9588,8,Partial,2007
151000,8471,6,Normal,1977
130000,5500,5,Normal,1929
73000,5232,5,Normal,1925
175500,12090,6,Normal,1981
185000,11207,6,Normal,1997
179500,8400,5,Normal,1939
120500,6900,5,Normal,1940
148000,7917,6,Normal,1976
266000,10728,8,Partial,2006
241500,39104,7,Normal,1954
290000,11764,8,Normal,1999
139000,9600,6,Normal,1958
124500,8314,5,Normal,1982
205000,7264,7,Normal,1925
201000,9196,7,Normal,2003
141000,19138,4,Normal,1951
415298,14450,9,Partial,2006
192000,10005,7,Normal,1977
228500,11287,7,Normal,1989
185000,7200,6,Partial,2006
207500,5063,7,Normal,2007
244600,9612,8,Partial,2008
179200,8012,6,Normal,1992
164700,4251,7,Partial,2006
159000,9786,6,Normal,1962
88000,8125,4,Normal,1971
122000,9819,5,Normal,1967
153575,8730,6,Normal,1915
233230,15611,8,Partial,2006
135900,5687,5,Normal,1912
131000,11409,5,Normal,1949
235000,16659,7,Normal,1977
167000,9600,6,Normal,1953
142500,7937,6,Normal,1984
152000,13710,5,Normal,1950
239000,7399,7,Normal,1997
175000,11700,6,Normal,1968
158500,14000,6,Family,1950
157000,15750,5,Normal,1953
267000,16226,8,Normal,1998
205000,13704,7,Normal,2001
149900,9800,5,Abnorml,1972
295000,18386,7,Normal,1880
305900,10386,8,Normal,2004
225000,13474,7,Normal,1990
89500,7920,6,Normal,1920
82500,12342,4,Normal,1940
360000,12378,9,Normal,2003
165600,7685,6,Normal,1993
132000,8000,6,Normal,1948
119900,7800,5,Normal,1939
375000,215245,7,Normal,1965
178000,9600,7,Normal,1925
188500,7795,7,Normal,2004
260000,13005,7,Normal,1980
270000,9000,8,Normal,2006
260000,9900,7,Normal,1993
187500,14115,7,Normal,1980
342643,16259,9,Partial,2006
354000,12099,8,Normal,2004
301000,10380,7,Normal,1986
126175,5820,3,Normal,1955
242000,11275,7,Normal,1967
87000,5000,5,Normal,1941
324000,10846,8,Normal,1993
145250,11600,6,Normal,1960
214500,11888,6,Normal,1916
78000,6402,5,Normal,1920
119000,10624,5,Normal,1964
139000,8176,5,Normal,1958
284000,10655,8,Normal,2003
207000,8198,7,Normal,2004
192000,9042,6,Normal,1998
228950,164660,5,Normal,1965
377426,14157,9,Normal,2005
214000,9135,7,Normal,2002
202500,14145,7,Normal,1984
155000,12400,6,Normal,1958
202900,14191,8,Normal,2002
82000,8400,4,Normal,1950
87500,8544,3,Normal,1949
266000,8849,9,Normal,2005
85000,2592,5,Normal,1976
140200,6435,6,Normal,1939
151500,12772,6,Normal,1960
157500,17600,6,Normal,1960
154000,2448,7,Normal,2003
437154,20431,9,Partial,2005
318061,7820,9,Partial,2007
190000,5271,7,Abnorml,1986
95000,9084,5,Normal,1941
105900,8520,6,Normal,1928
140000,8400,6,Normal,1940
177500,11249,6,Normal,1995
173000,9248,6,Normal,1992
134000,4224,5,Normal,1976
130000,6930,5,Abnorml,1958
280000,12011,8,Normal,1998
156000,7540,6,Normal,1978
145000,9144,5,Normal,1940
198500,7301,7,Normal,2003
118000,1680,6,Normal,1972
190000,18800,6,Normal,1976
147000,10690,5,Normal,1920
159000,9500,6,Normal,1963
165000,9150,6,Normal,1962
132000,7800,5,Normal,1954
162000,9830,5,Normal,1959
172400,8121,6,Normal,2000
134432,17120,4,Normal,1959
125000,7175,6,Normal,1984
123000,10634,5,Normal,1953
219500,8200,7,Normal,2003
61000,10020,1,Normal,1922
148000,8846,5,Normal,1996
340000,11143,8,Normal,2004
394432,11394,9,Partial,2010
179000,8123,6,Normal,2000
127000,5000,5,Normal,1924
187750,7200,7,Partial,2006
213500,9245,7,Normal,2006
76000,9000,6,Normal,1928
240000,53107,6,Normal,1992
192000,3182,8,Normal,2004
81000,8410,5,AdjLand,1910
125000,7200,6,Abnorml,1976
191000,9382,7,Normal,1999
426000,12474,10,Partial,2007
119000,8405,5,Normal,1900
215000,12209,6,Normal,2001
106500,8339,5,Normal,1959
100000,7446,4,Abnorml,1941
109000,10134,5,Normal,1940
129000,9571,5,Normal,1956
123000,7200,5,Normal,1972
169500,7590,5,Normal,1962
67000,8967,5,Abnorml,1920
241000,8125,7,Normal,2006
245500,14963,8,Normal,1996
164990,8767,7,Partial,2005
108000,10200,5,Normal,1940
258000,12090,8,Abnorml,1998
168000,10364,6,Normal,1995
150000,9991,4,Normal,1976
115000,10480,6,Normal,1936
177000,15576,6,Normal,1915
280000,14154,7,Partial,2006
339750,10800,8,Partial,2007
60000,9571,5,Abnorml,1958
145000,34650,5,Normal,1955
222000,4403,7,Partial,2009
115000,8960,5,Normal,1927
228000,11228,7,Normal,1993
181134,8899,7,Partial,2007
149500,7844,6,Normal,1978
239000,22420,6,Normal,1918
126000,8160,5,AdjLand,1940
142000,8450,5,Normal,1968
206300,7060,7,Alloca,1997
215000,16635,6,Normal,1977
113000,21750,5,Normal,1954
315000,9200,8,Normal,1998
139000,9000,6,Normal,1956
135000,3378,7,Normal,1946
275000,12800,7,Normal,1989
109008,8593,4,Normal,1957
195400,6762,7,Partial,2007
175000,11457,6,Normal,1988
85400,1680,6,Abnorml,1971
79900,5586,6,Abnorml,1920
122500,1920,5,Normal,1971
181000,10839,6,Normal,1997
81000,1890,4,Normal,1972
212000,10667,7,Normal,1996
116000,4400,6,Normal,1920
119000,6000,6,Normal,1926
90350,4280,5,Normal,1913
110000,12354,6,Normal,1920
555000,15431,10,Normal,2008
118000,12108,4,Normal,1955
162900,6240,5,Normal,1930
172500,3922,7,Partial,2006
210000,8750,7,Normal,1994
127500,9855,6,Normal,1956
190000,16492,6,Normal,1966
199900,11214,7,Normal,1998
119500,8600,6,Normal,1937
120000,6000,3,Normal,1948
110000,5684,6,Normal,1930
280000,70761,7,Normal,1975
204000,9303,6,Normal,1996
210000,9000,8,Normal,2008
188000,9297,5,Family,1976
175500,9600,7,Normal,1973
98000,4571,5,Abnorml,1916
256000,53227,4,Normal,1954
161000,5100,8,Normal,1925
110000,7015,5,Normal,1950
263435,8004,8,Partial,2009
155000,7200,7,Normal,1936
62383,8281,5,Normal,1965
188700,11988,6,Normal,1934
124000,8430,5,Normal,1978
178740,3072,7,Normal,2004
167000,10628,7,Normal,1970
146500,9480,5,Normal,1942
250000,11428,8,Normal,2006
187000,9291,6,Normal,1993
212000,6820,8,Normal,1985
190000,11952,7,Normal,1977
148000,3675,6,Normal,2005
440000,14977,8,Partial,2006
251000,5330,8,Normal,2000
132500,8480,5,Normal,1963
208900,13125,6,Normal,1997
380000,13693,9,Normal,2006
297000,10637,8,Normal,2007
89471,5925,4,Alloca,1937
326000,16033,9,Normal,2004
374000,11846,9,Normal,2003
155000,2500,7,Normal,1915
164000,4500,6,Normal,1998
132500,7758,5,Normal,1962
147000,9600,5,Normal,1950
156000,10289,5,Normal,1965
175000,12243,5,Normal,1971
160000,10800,5,Normal,1900
86000,1526,4,Normal,1970
115000,2665,5,Normal,1976
133000,9490,6,Normal,1941
172785,15578,6,Partial,2006
155000,7931,5,Normal,1960
91300,5784,5,Normal,1938
34900,7879,4,Abnorml,1920
430000,12692,8,Normal,1992
184000,9120,7,Normal,1925
130000,7800,5,Normal,1967
120000,7535,5,Normal,1958
113000,1890,6,Normal,1973
226700,9803,7,Normal,2005
140000,9170,5,Normal,1965
289000,15602,7,Normal,1959
147000,2308,6,Normal,1974
124500,7596,5,Normal,1952
215000,9554,8,Normal,1993
208300,7862,6,Partial,2009
161000,9600,7,Normal,1928
124500,9600,5,Normal,1959
164900,14559,5,Normal,1951
202665,6792,7,Partial,2005
129900,9100,5,Normal,1958
134000,9187,6,Normal,1983
96500,10594,5,Normal,1926
402861,12220,10,Partial,2009
158000,10448,6,Abnorml,1972
265000,10208,7,Normal,1996
211000,9531,6,Normal,1998
234000,10918,7,Normal,1926
106250,10800,4,Normal,1900
150000,11988,6,Normal,1957
159000,5000,6,Normal,1947
184750,40094,10,Partial,2007
315750,11787,7,Normal,1996
176000,7500,7,Normal,2005
132000,13300,5,Normal,1956
446261,14948,9,Partial,2008
86000,9098,4,Normal,1920
200624,32668,6,Alloca,1957
175000,10200,6,Abnorml,1988
128000,6155,6,Normal,1920
107500,7200,5,Normal,1955
39300,5000,1,Normal,1946
178000,9056,8,Normal,2004
107500,7000,5,Normal,1910
188000,8924,7,Normal,1998
111250,12735,4,Normal,1972
158000,11553,5,Normal,1968
272000,11423,8,Normal,2001
315000,14601,9,Normal,2006
248000,11000,8,Normal,2000
213250,10140,7,Normal,1998
133000,4058,7,Normal,1998
179665,17104,7,Partial,2006
229000,13837,7,Normal,1988
210000,8737,6,Normal,1923
129500,7244,5,Normal,1970
125000,8235,5,Normal,1955
263000,9375,7,Normal,2003
140000,4043,6,Abnorml,1977
112500,6000,5,Normal,1957
255500,11146,8,Normal,2006
108000,8777,4,Normal,1949
284000,10625,7,Normal,2003
113000,6380,5,Normal,1922
141000,14850,5,Normal,1957
108000,11040,4,Normal,1920
175000,21872,7,Normal,1996
234000,3196,7,Normal,2003
121500,11341,5,Normal,1957
170000,10010,5,Normal,1974
108000,13907,5,Normal,1940
185000,21780,6,Normal,1918
268000,13346,7,Normal,1992
128000,6858,6,Normal,1915
325000,11198,9,Normal,2005
214000,10171,7,Normal,2004
316600,12327,8,Normal,1983
135960,7032,5,Normal,1979
142600,13101,5,Normal,1965
120000,7332,6,Abnorml,1959
224500,13159,7,Partial,2009
170000,9967,7,Normal,2000
139000,10500,5,Normal,1971
118500,8480,5,Abnorml,1947
145000,6292,7,Normal,1928
164500,11777,5,Abnorml,1966
146000,3604,7,Abnorml,2007
131500,12150,5,Normal,1954
181900,14585,6,Normal,1960
253293,12704,8,Partial,2008
118500,11841,6,Normal,1990
325000,13500,10,Normal,1893
133000,6120,4,Normal,1935
369900,11443,8,Partial,2005
130000,10267,6,Normal,1918
137000,8740,5,Normal,1982
143000,25095,5,Partial,1968
79500,9100,5,Normal,1930
185900,8320,7,Normal,2004
451950,13478,10,Normal,2008
138000,6600,5,Normal,1982
140000,4435,6,Normal,2003
110000,7990,5,Normal,1975
319000,11302,8,Partial,2005
114504,3600,6,Normal,1910
194201,3922,7,Partial,2006
217500,12984,5,Normal,1977
151000,1950,6,Normal,1980
275000,10927,8,Normal,2005
141000,9000,6,Normal,1937
220000,10041,8,Abnorml,1992
151000,3182,7,Normal,2004
221000,12803,7,Normal,2002
205000,13600,7,Normal,1965
152000,12464,5,Normal,1996
225000,7800,5,Normal,1948
359100,12168,8,Alloca,1934
118500,7943,4,Normal,1961
313000,11050,9,Normal,2000
148000,10395,6,Normal,1978
261500,11885,8,Normal,2001
147000,8402,5,Partial,2007
75500,1491,4,Normal,1972
137500,8800,6,Abnorml,1963
183200,7861,6,Normal,2002
105500,7227,6,Normal,1954
314813,11694,9,Partial,2007
305000,12244,8,Normal,2003
67000,8248,3,Normal,1914
240000,10800,6,Normal,1974
135000,7064,5,Normal,1977
168500,2117,6,Normal,2000
165150,10400,6,Normal,1972
160000,10000,6,Normal,1962
139900,12342,5,Normal,1960
153000,9600,6,Normal,1955
135000,11606,5,Family,1969
168500,9020,6,Normal,1964
124000,9000,5,Abnorml,1880
209500,4590,8,Normal,2006
82500,11900,7,Family,1977
139400,9250,5,Normal,1954
144000,6979,6,Normal,1980
200000,10896,6,Abnorml,1914
60000,6120,2,Normal,1936
93000,6000,5,Normal,1954
85000,8777,5,Normal,1910
264561,3982,8,Partial,2006
274000,12677,8,Normal,2003
226000,7050,7,Normal,2001
345000,13860,8,Normal,1972
152000,10793,5,Normal,1969
370878,9187,9,Partial,2009
143250,10530,6,Normal,1971
98300,7200,5,Normal,1950
155000,10452,6,Normal,1953
155000,7700,6,Normal,1966
84500,1936,4,Normal,1970
205950,8125,7,Normal,2007
108000,9084,4,Normal,1940
191000,8750,7,Normal,1996
135000,10320,6,Normal,1906
350000,10437,8,Normal,1995
88000,1680,6,Family,1971
145500,10007,5,Normal,1959
149000,7200,7,Normal,1931
97500,17503,6,Abnorml,1948
167000,9937,5,Normal,1964
197900,12384,7,Normal,1976
402000,46589,8,Normal,1994
110000,13560,6,Normal,1968
137500,10012,4,Normal,1972
423000,20896,8,Partial,2005
230500,11194,8,Normal,2000
129000,18450,6,Abnorml,1965
193500,8125,6,Normal,1994
168000,14175,5,Normal,1956
137500,11600,4,Normal,1922
173500,8633,6,Normal,2005
103600,6629,6,Normal,1925
165000,11250,6,Normal,1977
257500,14442,6,Normal,1957
140000,9200,6,Normal,1965
148500,2289,6,Normal,1978
87000,9600,4,Normal,1900
109500,9022,5,Normal,1924
372500,11844,8,Partial,2008
128500,9945,5,Normal,1961
143000,8012,6,Normal,1980
159434,4500,5,Abnorml,1932
173000,2887,6,Normal,1996
285000,11248,9,Normal,2002
221000,16770,7,Normal,1998
207500,5062,7,Normal,1984
227875,10207,7,Partial,2007
148800,5105,7,Normal,2004
392000,8089,8,Partial,2007
194700,7577,6,Normal,2005
141000,4426,6,Normal,2004
755000,21535,10,Normal,1994
335000,26178,7,Normal,1989
108480,5400,5,Abnorml,1921
141500,6120,5,Normal,1936
176000,13811,6,Normal,1987
89000,6000,5,Normal,1921
123500,6420,5,Normal,1952
138500,8450,5,Normal,1965
196000,4282,7,Normal,2004
312500,14331,8,Normal,2002
140000,9600,7,Normal,1969
361919,12438,8,Partial,2006
140000,7630,5,Normal,1900
213000,8400,7,Normal,2004
55000,5600,4,Normal,1930
302000,115149,7,Normal,1971
254000,6240,8,Normal,2006
179540,9018,7,Partial,2007
109900,7162,5,Abnorml,1966
52000,4130,3,Normal,1935
102776,8712,4,Abnorml,1900
189000,4671,8,Normal,1988
129000,9873,4,Normal,1970
130500,13517,6,Normal,1976
165000,10140,6,Normal,1974
159500,10800,7,Normal,1890
157000,10000,5,Normal,1973
341000,10542,7,Normal,1993
128500,9920,5,Normal,1969
275000,6563,8,Normal,1985
143000,4426,6,Normal,2004
124500,8120,4,Normal,1970
135000,8172,4,Normal,1954
320000,13286,9,Normal,2007
120500,6960,4,Normal,1970
222000,21695,6,Normal,1988
194500,7314,7,Normal,2007
110000,11475,5,Abnorml,1958
103000,6240,4,Normal,1925
236500,5389,8,Normal,1995
187500,9590,7,Normal,2003
222500,11404,7,Normal,1998
131400,10000,5,Normal,1961
108000,8978,5,Family,1968
163000,10800,7,Normal,1914
93500,8544,3,Normal,1950
239900,10463,8,Normal,2005
179000,10800,5,Alloca,1987
190000,9313,7,Normal,2004
132000,9600,5,Abnorml,1910
142000,6768,6,Normal,1961
179000,8450,7,Normal,2000
175000,12886,5,Normal,1963
180000,5395,8,Normal,1993
299800,8963,8,Normal,1976
236000,8795,7,Normal,2000
265979,11700,7,Normal,1880
260400,10593,7,Normal,1996
98000,8405,4,Normal,1945
96500,8800,4,Normal,1910
162000,7750,7,Normal,2003
217000,9236,6,Normal,1997
275500,10240,8,Normal,2005
156000,7930,6,Normal,1969
172500,3230,6,Normal,1999
212000,10769,8,Normal,2007
158900,11616,6,Abnorml,1978
179400,2280,7,Normal,1999
290000,12257,8,Normal,1995
127500,9100,6,Normal,1959
100000,6911,5,Normal,1924
215200,8640,7,Normal,2009
337000,9430,8,Normal,1999
270000,9549,8,Normal,1995
264132,14587,9,Partial,2008
196500,10421,7,Normal,1988
160000,12508,6,Normal,1940
216837,9100,7,Normal,2004
538000,53504,8,Normal,2003
134900,7252,5,Normal,1982
102000,8877,4,Normal,1951
107000,7819,6,Abnorml,1976
114500,10150,5,Normal,1958
395000,14226,8,Partial,2006
162000,4500,6,Normal,1998
221500,11210,7,Partial,2005
142500,13350,5,Normal,1974
144000,8400,5,Normal,1977
135000,10530,6,Normal,1977
176000,7875,7,Normal,1995
175900,7153,6,Normal,1992
187100,16285,7,Normal,2001
165500,9101,5,Normal,1978
128000,6300,6,Normal,1914
161500,9790,6,Normal,1967
139000,10800,5,Normal,1915
233000,10142,7,Normal,2004
107900,6000,4,Normal,1954
187500,12205,6,Normal,1966
160200,3182,7,Normal,2005
146800,11333,6,Normal,1976
269790,9920,7,Normal,1996
225000,9158,8,Partial,2007
194500,10832,7,Normal,1994
171000,8400,6,Normal,1980
143500,8197,6,Normal,1977
110000,7677,5,Abnorml,1953
485000,13518,9,Partial,2008
175000,7200,5,Normal,1937
200000,12798,6,Normal,1997
109900,4800,4,Normal,1916
189000,8199,7,Normal,2005
582933,13891,9,Partial,2008
118000,9000,5,Family,1954
227680,12274,7,Partial,2008
135500,9750,5,Normal,1967
223500,21384,5,Normal,1923
159950,13400,5,Normal,1966
106000,8100,5,Normal,1898
181000,10140,6,Normal,1974
144500,4438,6,Normal,2004
55993,8712,5,Alloca,1952
157900,9750,6,Normal,1958
116000,8248,5,Normal,1918
224900,12137,7,Normal,1998
137000,11425,5,Normal,1954
271000,13265,8,Normal,2002
155000,8816,6,Normal,1971
224000,6371,7,Partial,2009
183000,7226,7,Normal,2003
93000,6000,4,Normal,1953
225000,12394,7,Family,2003
139500,9900,6,Normal,1940
232600,11216,8,Partial,2006
385000,14803,10,Partial,2007
109500,6130,5,Normal,1924
189000,8529,7,Normal,2001
185000,28698,5,Abnorml,1967
147400,2544,7,Normal,2005
166000,11900,6,Normal,1957
151000,3180,7,Normal,2005
237000,9548,7,Normal,2003
167000,10004,6,Normal,1964
139950,7875,5,Normal,1961
128000,9600,4,Normal,1950
153500,8100,5,Normal,1948
100000,1680,6,Normal,1973
144000,9525,5,Normal,1995
130500,11767,5,Normal,1946
140000,12155,6,Normal,1925
157500,10440,5,Normal,1904
174900,9020,6,Normal,1966
141000,8000,5,Normal,1961
153900,12665,5,Normal,1915
171000,16647,5,Normal,1975
213000,9317,7,Normal,1993
133500,15523,5,Normal,1972
240000,45600,6,Normal,1908
187000,9600,6,Normal,1976
131500,4435,6,Normal,2003
215000,3196,8,Normal,2003
164000,7128,7,Normal,1941
158000,12095,6,Normal,1964
170000,17920,5,Abnorml,1955
127000,6897,5,Normal,1962
147000,10970,6,Normal,1978
174000,8125,6,Normal,1994
152000,10400,7,Family,1976
250000,11029,6,Normal,1968
189950,7642,7,Normal,1918
131500,11625,5,Normal,1965
152000,9672,6,Normal,1984
132500,7931,5,Normal,1959
250580,8640,7,Partial,2007
148500,8750,5,Normal,1970
248900,10656,8,Partial,2006
129000,6970,4,Normal,1961
169000,14762,5,Normal,1948
236000,9938,7,Normal,1993
109500,6600,5,Normal,1962
200500,8750,6,Normal,1998
116000,8892,5,Normal,1953
133000,12144,5,Normal,1949
66500,5720,5,Abnorml,1941
303477,9000,8,Partial,2007
132250,25286,4,Normal,1963
350000,8834,9,Normal,2004
148000,11782,5,Normal,1961
136500,7000,5,Normal,1978
157000,7024,5,Normal,2005
187500,13758,7,Normal,1990
178000,9636,6,Normal,1992
118500,6204,4,Normal,1912
100000,7150,5,Normal,1967
328900,5119,9,Abnorml,1999
145000,8393,5,Family,1959
135500,16466,5,Normal,1955
268000,15865,8,Normal,1970
149500,12160,6,Normal,1953
122900,8064,5,Normal,1949
172500,11184,6,Normal,1978
154500,8414,6,Normal,1963
165000,13284,5,Normal,1954
118858,7018,5,Alloca,1979
140000,7056,6,Normal,1963
106500,8765,4,Abnorml,1936
142953,7018,5,Alloca,1979
611657,12919,9,Partial,2009
135000,6993,5,Normal,1961
110000,7340,4,Normal,1971
153000,8712,5,Normal,1957
180000,7875,7,Normal,2003
240000,14859,7,Partial,2006
125500,6173,5,Normal,1967
128000,9920,5,Normal,1954
255000,13501,8,Normal,2006
250000,11500,7,Normal,1936
131000,8885,5,Normal,1983
174000,12589,6,Normal,2005
154300,11600,5,Normal,1960
143500,9286,5,Normal,1977
88000,6120,5,Abnorml,1925
145000,6270,5,Normal,1949
173733,3000,6,Partial,2009
75000,2001,4,Normal,1970
35311,9000,2,Abnorml,1949
135000,17140,4,Normal,1956
238000,13125,7,Normal,1991
176500,11029,6,Normal,1958
201000,8462,6,Normal,1994
