,news,target
10,"This might a real wierd idea or maybe not..

I have seen where people have blown up ballons then sprayed material into them
that then drys and makes hard walls...

Why not do the same thing for a space station..

Fly up the docking rings and baloon materials and such, blow up the baloons,
spin then around (I know a problem in micro gravity) let them dry/cure/harden?
and cut a hole for the docking/attaching ring and bingo a space station..

Of course the ballons would have to be foil covered or someother radiation
protective covering/heat shield(?) and the material used to make the wals would
have to meet the out gasing and other specs or atleast the paint/covering of
the inner wall would have to be human safe.. Maybe a special congrete or maybe
the same material as makes caplets but with some changes (saw where someone
instea dof water put beer in the caplet mixture, got a mix that was just as
strong as congret but easier to carry around and such..)

Sorry for any spelling errors, I missed school today.. (grin)..

Why musta  space station be so difficult?? why must we have girders? why be
confined to earth based ideas, lets think new ideas, after all space is not
earth, why be limited by earth based ideas??",1
11,"I've been following discussions about the Delta Clipper program, and I
have one small question.  As I understand it, the DC-X derived orbital
vehicle (DC-Y & 1) is to reenter the atmosphere sort of sideways, not
completely nose-first.  So why is the DC-Y look symmetric in every drawing
I've seen?  I would think that an asymmetric design, sort of like 
wingless Orbiter, may work better, since less shielding is required on the
top side.  Can anybody explain?  

- Ken Kobayashi
kkobayas@husc.harvard.edu

-- ",1
12,"
You'd need to launch HLVs to send up large amounts of stuff *if* you assume
no new launcher development.  If you assume new launcher development, with
lower costs as a specific objective, then you probably don't want to
build something HLV-sized anyway.",1
13,"


American, perhaps, but nothing military about it.  I learned (mostly)
slugs when we talked English units in high school physics and while
the teacher was an ex-Navy fighter jock the book certainly wasn't
produced by the military.

[Poundals were just too flinking small and made the math come out
funny; sort of the same reason proponents of SI give for using that.] 

-- 
""Insisting on perfect safety is for people who don't have the balls to live
 in the real world.""   -- Mary Shafer, NASA Ames Dryden",1
14,"How about transferring control to a non-profit organisation that is
able to accept donations to keep craft operational.",1
15,"
What do you mean by omnipotent here?  Do you mean by ""omnipotent""
that God should be able to do anything/everything?  This creates
a self-contradictory definition of omnipotence which is effectively
useless.

To be descriptive, omnipotence must mean ""being all-powerful"" and
not ""being able to do anything/everything"".

Let me illustrate by analogy.
Suppose the United States were the only nuclear power on earth.  Suppose
further that the US military could not effectively be countered by any
nation or group of nations.  The US has the power to go into any country
at any time for any reason to straighten things out as the leaders of the
US see fit.  The US would be militarily ""omnipotent"".

But suppose further that the US holds to a doctrine/philosophy of not
interfering in the internal affairs of any nation, such as the current
civil war in the former Yugoslavian states.

Technically (in this scenario) the US would have the power to 
unilaterally go into Yugoslavia and straighten out the mess.  But
effectively the US could not intervene without violating its own policy 
of non-interference.  If the policy of non-interference were held to
strongly enough, then there would never be a question that it would
ever be violated.  Effectively, the US would be limited in what it
could actually do, although it had the power to do ""whatever it wanted"".
The US would simply ""never want to interfere"" for such an idea would
be beyond the consideration of its leaders given such an inviolate
non-interference policy.

God is effectively limited in the same sense.  He is all powerful, but
He cannot use His power in a way that would violate the essence of what
He, Himself is.

I hope this helps to clear up some of the misunderstanding concerning
omnipotence.

Regards,",0
16,"
Sorry.   Wrong.    This is how banks got started in the first place.
Sooner or later your father and his pals will lend money to someone
who eventually goes broke, and then they will realise that they
havn't been managing risk very well.   Then they will ask themselves
what it is that they need to quantify risk, and to persuade borrowers
not to take on greater loans than they can carry.    And since they
don't all want the worry of doing the calculations and handling the
money, some of them will specialise in that.

Then they'll reinvent interest, but like good Muslims, they'll call
it something else.


Riiiight.   That's why John Major opened a new government department
a couple of months ago to help to promote minority business.   Because
they can do it all themselves by lending one another cups of sugar.",0
17,"We are not at the end of the Space Age, but only at the end of Its
beginning.

That space exploration is no longer a driver for technical innovation,
or a focus of American cultural attention is certainly debatable; however,
technical developments in other quarters will always be examined for
possible applications in the space area and we can look forward to
many innovations that might enhance the capabilities and lower the
cost of future space operations. 

The Dream is Alive and Well.",1
18,"What would all of you out there in net land think of the big 6 (Martin
Mariatta, Boeing, Mcdonell Douglas, General Dynamics, Lockheed, Rockwell)
getting together, and forming a consortium to study exactly what the market
price pints are for building reusable launch vehicles, and spending say
$3million to do that.  Recognizing that most of the military requirements
for launch vehicles are pulled out of a hat somewhere (say, has the shuttle 
ever really used that 1200mi crossrange capability?  You get the idea, figure
out how many, how often, where to, etc...)

Then taking this data, and forming a sematech type company (bad example, I
know... but at least its an example...)  To develop between 3 and 5 craft
designs.  Then to take all of those designs, and figure out EXACTLY what
the technologies are, and demonstrate those technologies, in order to 
eliminate designs that can't be built today.  And lets say that this
portion again funded by the GOV cost about $20 million.

And from here all of these companies went their separate ways, with the
intention of taking all of the market data and the design data to wall
street, and saying ""I want to build this vehicle, and here are the numbers
that show %20 ROI, fund me...)


Now many of you think that this is a joke, but I have it on good authority that
just this project is shaping up in the background. It seems that the aerospace
companies have learned that everyone yelling similar but different things
ends up in many programs that do nothing much and get canceled (NASP, NLS,
ALS, DCY?, etc...)  They need to work more in the japaneese, and european
spirit of initial cooperation.  They have also learned that design requirements
that are phony (I.E. some generals idea of what a space vehicle ought to be)
ends up getting chopped up in congress, because it is not a REAL requirement.

Any feedback?",1
19,"
Well, this particular thread of vituperation slopped its venom over
into alt.atheism, where we spend most of our time entertaining
arguments against our belief system, without resorting to accusing
others of bigotry.  It's somewhat ironic that our exposure to bigotry
happens in this instance to have originated in rec.scouting, since I
always understood scouting to teach tolerance and diversity.  I
understand bigotry to be irrational prejudice against other people who
happen to be of a different race, religion, ethnic background, sex, or
other inconsequential characteristics.  All the evidence I've seen
indicates that sexual orientation and lack of belief in gods are
exactly such inconsequential characteristics.  Thus, pending further
evidence, I conclude that those who show prejudice against such people
are bigots, and organizations that exclude such people are
discriminatory.",0
20,"
Actually, Hiten wasn't originally intended to go into lunar orbit at all,
so it indeed didn't have much fuel on hand.  The lunar-orbit mission was
an afterthought, after Hagoromo (a tiny subsatellite deployed by Hiten
during a lunar flyby) had a transmitter failure and its proper insertion
into lunar orbit couldn't be positively confirmed.

It should be noted that the technique does have disadvantages.  It takes
a long time, and you end up with a relatively inconvenient lunar orbit.
If you want something useful like a low circular polar orbit, you do have
to plan to expend a certain amount of fuel, although it is reduced from
what you'd need for the brute-force approach.",1
21,"News-Software: UReply 3.1
X-X-From: Wingert@VNET.IBM.com (Bret Wingert)
            <C5uBn5.tz@zoo.toronto.edu>

 ========================================================================
A couple of points on this thread.

1. We have been using our processes since way before Challenger.  Challenger
   in and of it self did not uncover flaws.

2. What Mr. Spencer says is by and large true.  We have a process that is
   not dependent on ""sophisticated tools""  (CASE tools?).  However, tools
   cannot fix a bad process.  Also, tool support for HAL/S (the Shuttle
   Language) is somewhat limited.

3. The Onboard Flight Software project was rated ""Level 5"" by a NASA team.
   This group generates 20-40 KSLOCs of verified code per year for NASA.

4. Feel free to call me if you or your organization is interested in more info
   on our software development process.

Bret Wingert


(713)-282-7534
FAX: (713)-282-8077


Bret Wingert
",1
